"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10.21,-0.20868,0.039013,-2.1986e-020,0.13187,3.1551e-005,2343.7,0.007141,-0.0013057,4.8044e-022,1,0.007995,0.007995,-0.025,0
-10.209,-0.21547,0.039453,-2.5382e-020,0.13502,3.2071e-005,2346.4,0.0073395,-0.0013161,2.192e-022,1,0.0082,0.0082,-0.025,0
-10.209,-0.22231,0.039913,-2.7275e-020,0.13814,3.26e-005,2349.2,0.0075399,-0.0013283,-3.5078e-023,1,0.008405,0.008405,-0.025,0
-10.209,-0.22943,0.040483,-2.1322e-020,0.14118,3.3174e-005,2352.1,0.0077505,-0.0013496,-2.5318e-022,1,0.00861,0.00861,-0.025,0
-10.21,-0.23656,0.041054,-1.5366e-020,0.14421,3.3749e-005,2355.1,0.007961,-0.001371,-4.7124e-022,1,0.008815,0.008815,-0.025,0
-10.21,-0.24376,0.041648,-9.7238e-021,0.14704,3.4313e-005,2358.3,0.0081758,-0.0013946,-6.313e-022,1,0.00902,0.00902,-0.025,0
-10.211,-0.25118,0.042309,-4.9499e-021,0.14928,3.4846e-005,2361.8,0.0084028,-0.0014247,-6.3124e-022,1,0.009225,0.009225,-0.025,0
-10.211,-0.2586,0.04297,-1.7445e-022,0.15152,3.5379e-005,2365.3,0.0086298,-0.0014547,-6.3118e-022,1,0.00943,0.00943,-0.025,0
-10.212,-0.2661,0.043628,2.5908e-021,0.15323,3.5789e-005,2390.7,0.0088635,-0.0014854,-5.5636e-022,1,0.009635,0.009635,-0.025,0
-10.214,-0.27376,0.044281,1.5915e-021,0.15393,3.5968e-005,2457,0.0091098,-0.0015173,-3.4168e-022,1,0.00984,0.00984,-0.025,0
-10.215,-0.28143,0.044934,5.9186e-022,0.15464,3.6146e-005,2523.3,0.009356,-0.0015491,-1.2703e-022,1,0.010045,0.010045,-0.025,0
-10.216,-0.28916,0.045542,0,0.15596,3.6456e-005,2589.3,0.0096099,-0.0015788,0,1,0.01025,0.01025,-0.025,0
-10.218,-0.297,0.046085,0,0.15817,3.6956e-005,2655.2,0.0098749,-0.0016055,0,1,0.010455,0.010455,-0.025,0
-10.219,-0.30484,0.046628,0,0.16038,3.7456e-005,2721,0.01014,-0.0016321,0,1,0.01066,0.01066,-0.025,0
-10.221,-0.31271,0.047065,-2.0328e-021,0.16374,3.8268e-005,2758.9,0.010431,-0.0016561,8.1132e-023,1,0.010865,0.010865,-0.025,0
-10.223,-0.32062,0.04737,-6.602e-021,0.16854,3.9469e-005,2761.9,0.010754,-0.0016768,2.6342e-022,1,0.01107,0.01107,-0.025,0
-10.224,-0.32853,0.047674,-1.1173e-020,0.17335,4.0671e-005,2765,0.011078,-0.0016974,4.4567e-022,1,0.011275,0.011275,-0.025,0
-10.226,-0.33644,0.047856,-1.3648e-020,0.17889,4.1994e-005,2778.2,0.011452,-0.0017195,5.4425e-022,1,0.01148,0.01148,-0.025,0
-10.227,-0.34434,0.047893,-1.365e-020,0.18531,4.346e-005,2803.3,0.011885,-0.0017432,5.442e-022,1,0.011685,0.011685,-0.025,0
-10.229,-0.35224,0.047931,-1.3652e-020,0.19173,4.4927e-005,2828.5,0.012318,-0.0017669,5.4415e-022,1,0.01189,0.01189,-0.025,0
-10.23,-0.36007,0.047891,-1.0528e-020,0.19868,4.6427e-005,2863.5,0.012778,-0.0017928,5.4367e-022,1,0.012095,0.012095,-0.025,0
-10.23,-0.36782,0.047756,-3.5746e-021,0.20628,4.7966e-005,2910.5,0.013271,-0.0018213,5.4269e-022,1,0.0123,0.0123,-0.025,0
-10.231,-0.37557,0.047621,3.3813e-021,0.21387,4.9505e-005,2957.5,0.013764,-0.0018498,5.417e-022,1,0.012505,0.012505,-0.025,0
-10.231,-0.3832,0.047395,7.439e-021,0.22161,5.104e-005,3005.4,0.014266,-0.0018758,5.411e-022,1,0.01271,0.01271,-0.025,0
-10.231,-0.39066,0.047043,7.4403e-021,0.22956,5.257e-005,3054.6,0.014782,-0.0018982,5.4105e-022,1,0.012915,0.012915,-0.025,0
-10.23,-0.39813,0.04669,7.4416e-021,0.23751,5.4099e-005,3103.7,0.015298,-0.0019206,5.41e-022,1,0.01312,0.01312,-0.025,0
-10.229,-0.40546,0.046228,6.5715e-021,0.24567,5.5671e-005,3153.6,0.015822,-0.0019376,4.7762e-022,1,0.013325,0.013325,-0.025,0
-10.227,-0.41254,0.045572,4.1557e-021,0.2542,5.7317e-005,3204.7,0.016363,-0.0019449,3.0196e-022,1,0.01353,0.01353,-0.025,0
-10.225,-0.41962,0.044916,1.7391e-021,0.26273,5.8964e-005,3255.9,0.016904,-0.0019522,1.2633e-022,1,0.013735,0.013735,-0.025,0
-10.222,-0.42656,0.044182,-2.0656e-022,0.27133,6.0626e-005,3306.8,0.017445,-0.0019544,4.8987e-023,1,0.01394,0.01394,-0.025,0
-10.217,-0.43314,0.043245,-9.43e-022,0.2801,6.2324e-005,3357,0.017987,-0.0019436,2.2358e-022,1,0.014145,0.014145,-0.025,0
-10.212,-0.43972,0.042308,-1.6797e-021,0.28888,6.4023e-005,3407.2,0.018529,-0.0019329,3.9814e-022,1,0.01435,0.01435,-0.025,0
-10.206,-0.4462,0.041329,-2.2866e-021,0.2977,6.5731e-005,3457.5,0.01907,-0.0019192,5.4185e-022,1,0.014555,0.014555,-0.025,0
-10.197,-0.45217,0.040158,-2.287e-021,0.30676,6.7478e-005,3507.9,0.019606,-0.0018918,5.418e-022,1,0.01476,0.01476,-0.025,0
-10.189,-0.45815,0.038986,-2.2874e-021,0.31583,6.9225e-005,3558.3,0.020143,-0.0018645,5.4175e-022,1,0.014965,0.014965,-0.025,0
-10.18,-0.4641,0.037805,-2.2179e-021,0.32489,7.0982e-005,3608.5,0.020678,-0.0018363,5.2496e-022,1,0.01517,0.01517,-0.025,0
-10.167,-0.4694,0.036442,-7.7446e-022,0.33403,7.292e-005,3656.8,0.021194,-0.0017928,1.7922e-022,1,0.015375,0.015375,-0.025,0
-10.154,-0.4747,0.035078,6.6949e-022,0.34317,7.4859e-005,3705,0.02171,-0.0017493,-1.6646e-022,1,0.01558,0.01558,-0.025,0
-10.141,-0.48001,0.033714,2.1139e-021,0.35232,7.6798e-005,3753.3,0.022226,-0.0017058,-5.1207e-022,1,0.015785,0.015785,-0.025,0
-10.124,-0.48465,0.032212,9.791e-023,0.36144,7.8759e-005,3800.1,0.022714,-0.0016485,-5.4797e-022,1,0.01599,0.01599,-0.025,0
-10.105,-0.48921,0.030695,-2.3208e-021,0.37057,8.0722e-005,3846.7,0.0232,-0.0015897,-5.4792e-022,1,0.016195,0.016195,-0.025,0
-10.087,-0.49378,0.029177,-4.7403e-021,0.3797,8.2687e-005,3893.3,0.023685,-0.0015308,-5.4787e-022,1,0.0164,0.0164,-0.025,0
-10.065,-0.49779,0.02758,-6.4483e-021,0.38872,8.4546e-005,3939.1,0.02414,-0.001462,-2.996e-022,1,0.016605,0.016605,-0.025,0
-10.04,-0.50157,0.025951,-7.8785e-021,0.3977,8.6364e-005,3984.4,0.024582,-0.0013894,4.5621e-023,1,0.01681,0.01681,-0.025,0
-10.016,-0.50535,0.024322,-9.3092e-021,0.40667,8.8183e-005,4029.7,0.025025,-0.0013168,3.9078e-022,1,0.017015,0.017015,-0.025,0
-9.9882,-0.50871,0.022655,-8.7677e-021,0.41557,8.9967e-005,4074.1,0.025442,-0.0012383,5.5732e-022,1,0.01722,0.01722,-0.025,0
-9.9572,-0.51167,0.020952,-6.3852e-021,0.42438,9.1719e-005,4117.6,0.025834,-0.0011543,5.5726e-022,1,0.017425,0.017425,-0.025,0
-9.9261,-0.51464,0.019249,-4.0019e-021,0.4332,9.3471e-005,4161.1,0.026227,-0.0010703,5.5721e-022,1,0.01763,0.01763,-0.025,0
-9.893,-0.51736,0.017533,-2.1046e-021,0.44195,9.5231e-005,4204,0.026602,-0.00098374,5.0733e-022,1,0.017835,0.017835,-0.025,0
-9.8549,-0.51948,0.015789,-1.394e-021,0.45056,9.7009e-005,4245.3,0.026937,-0.00089102,3.3595e-022,1,0.01804,0.01804,-0.025,0
-9.8168,-0.52161,0.014044,-6.8321e-022,0.45916,9.8789e-005,4286.6,0.027272,-0.00079831,1.6461e-022,1,0.018245,0.018245,-0.025,0
-9.7784,-0.5237,0.012299,0,0.46776,0.00010056,4327.9,0.027604,-0.00070545,0,1,0.01845,0.01845,-0.025,0
-9.7332,-0.52497,0.010563,0,0.47618,0.00010222,4368.2,0.027876,-0.00060847,0,1,0.018655,0.018655,-0.025,0
