"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.7466,0.056837,0.046617,-2.6591e-020,3.5595e-005,2.8601e-005,-0.0048435,-0.00085948,2.4196e-022,1,0.0082,0.0082,-0.025,0
-8.7487,0.040752,0.047365,-2.7606e-020,3.6292e-005,2.9285e-005,-0.0046642,-0.00070722,-6.0466e-023,1,0.008405,0.008405,-0.025,0
-8.7522,0.022121,0.051378,-1.7936e-020,3.6665e-005,2.965e-005,-0.0044972,-0.00061815,-4.3642e-022,1,0.00861,0.00861,-0.025,0
-8.7558,0.0034829,0.055392,-8.2636e-021,3.7037e-005,3.0015e-005,-0.0043303,-0.0005291,-8.123e-022,1,0.008815,0.008815,-0.025,0
-8.7593,-0.016309,0.060147,4.5766e-024,3.7315e-005,3.031e-005,-0.0041505,-0.00046914,-1.0882e-021,1,0.00902,0.00902,-0.025,0
-8.7627,-0.039281,0.066947,4.386e-021,3.7333e-005,3.041e-005,-0.0039353,-0.00048949,-1.0881e-021,1,0.009225,0.009225,-0.025,0
-8.7661,-0.06226,0.073748,8.769e-021,3.735e-005,3.051e-005,-0.0037202,-0.00050984,-1.088e-021,1,0.00943,0.00943,-0.025,0
-8.7691,-0.086698,0.081322,1.025e-020,3.735e-005,3.0647e-005,-0.0034764,-0.00059033,-9.5903e-022,1,0.009635,0.009635,-0.025,0
-8.7716,-0.11386,0.090337,6.2963e-021,3.7315e-005,3.0854e-005,-0.0031789,-0.00078336,-5.8896e-022,1,0.00984,0.00984,-0.025,0
-8.774,-0.14103,0.099355,2.3415e-021,3.728e-005,3.1062e-005,-0.0028816,-0.00097635,-2.1897e-022,1,0.010045,0.010045,-0.025,0
-8.776,-0.16963,0.10917,0,3.7327e-005,3.1453e-005,-0.0025057,-0.0012705,0,1,0.01025,0.01025,-0.025,0
-8.7773,-0.20027,0.12015,0,3.7495e-005,3.211e-005,-0.002016,-0.0017112,0,1,0.010455,0.010455,-0.025,0
-8.7785,-0.23093,0.13113,0,3.7662e-005,3.2768e-005,-0.0015263,-0.0021519,0,1,0.01066,0.01066,-0.025,0
-8.78,-0.26322,0.14197,-2.5656e-021,3.8016e-005,3.3547e-005,-0.00088181,-0.0026371,1.4548e-022,1,0.010865,0.010865,-0.025,0
-8.7816,-0.29755,0.15263,-8.3321e-021,3.8601e-005,3.4475e-005,-4.4184e-005,-0.0031777,4.7233e-022,1,0.01107,0.01107,-0.025,0
-8.7833,-0.33189,0.16329,-1.4101e-020,3.9186e-005,3.5404e-005,0.00079329,-0.0037183,7.9913e-022,1,0.011275,0.011275,-0.025,0
-8.7879,-0.36749,0.17263,-1.7224e-020,4e-005,3.6304e-005,0.0017584,-0.0041989,9.7589e-022,1,0.01148,0.01148,-0.025,0
-8.796,-0.40458,0.1804,-1.7227e-020,4.1085e-005,3.7171e-005,0.0028741,-0.0046088,9.7579e-022,1,0.011685,0.011685,-0.025,0
-8.8041,-0.44169,0.18817,-1.723e-020,4.2169e-005,3.8039e-005,0.0039895,-0.0050187,9.757e-022,1,0.01189,0.01189,-0.025,0
-8.8192,-0.47921,0.19455,-1.4773e-020,4.3441e-005,3.8942e-005,0.005151,-0.0053607,9.0103e-022,1,0.012095,0.012095,-0.025,0
-8.8429,-0.51723,0.19921,-9.303e-021,4.4942e-005,3.9889e-005,0.0063689,-0.0056197,7.3509e-022,1,0.0123,0.0123,-0.025,0
-8.8665,-0.55526,0.20387,-3.8311e-021,4.6444e-005,4.0837e-005,0.0075866,-0.0058786,5.6918e-022,1,0.012505,0.012505,-0.025,0
-8.8998,-0.59323,0.20758,-6.3953e-022,4.8165e-005,4.2053e-005,0.0088203,-0.0061048,4.7243e-022,1,0.01271,0.01271,-0.025,0
-8.9466,-0.63111,0.20997,-6.3964e-022,5.0192e-005,4.3645e-005,0.010077,-0.0062854,4.7239e-022,1,0.012915,0.012915,-0.025,0
-8.9935,-0.669,0.21236,-6.3975e-022,5.2219e-005,4.5238e-005,0.011333,-0.006466,4.7234e-022,1,0.01312,0.01312,-0.025,0
-9.0495,-0.70645,0.21419,-5.6495e-022,5.4298e-005,4.7072e-005,0.012596,-0.0066346,4.17e-022,1,0.013325,0.013325,-0.025,0
-9.122,-0.74314,0.215,-3.5727e-022,5.6467e-005,4.9334e-005,0.013874,-0.0067821,2.6364e-022,1,0.01353,0.01353,-0.025,0
-9.1944,-0.77983,0.21582,-1.4951e-022,5.8637e-005,5.1597e-005,0.015152,-0.0069296,1.103e-022,1,0.013735,0.013735,-0.025,0
-9.2732,-0.81604,0.21617,-1.7345e-022,6.0663e-005,5.3786e-005,0.016434,-0.0070615,2.4537e-023,1,0.01394,0.01394,-0.025,0
-9.3682,-0.85097,0.21534,-7.9187e-022,6.2318e-005,5.5784e-005,0.017728,-0.0071538,1.1199e-022,1,0.014145,0.014145,-0.025,0
-9.4632,-0.8859,0.21451,-1.4105e-021,6.3973e-005,5.7782e-005,0.019022,-0.007246,1.9942e-022,1,0.01435,0.01435,-0.025,0
-9.5615,-0.92048,0.21338,-1.9201e-021,6.5562e-005,5.9696e-005,0.020313,-0.0073234,2.7141e-022,1,0.014555,0.014555,-0.025,0
-9.6747,-0.95328,0.21088,-1.9205e-021,6.6837e-005,6.1219e-005,0.02159,-0.0073314,2.7138e-022,1,0.01476,0.01476,-0.025,0
-9.7879,-0.9861,0.20838,-1.9208e-021,6.8113e-005,6.2742e-005,0.022866,-0.0073395,2.7135e-022,1,0.014965,0.014965,-0.025,0
-9.9018,-1.0188,0.20583,-1.8714e-021,6.939e-005,6.4266e-005,0.024152,-0.0073476,2.6344e-022,1,0.01517,0.01517,-0.025,0
-10.029,-1.0491,0.20218,-8.4324e-022,7.0671e-005,6.5815e-005,0.025652,-0.007356,1.0053e-022,1,0.015375,0.015375,-0.025,0
-10.156,-1.0793,0.19853,1.8523e-022,7.1953e-005,6.7364e-005,0.027151,-0.0073643,-6.2352e-023,1,0.01558,0.01558,-0.025,0
-10.284,-1.1096,0.19488,1.214e-021,7.3236e-005,6.8914e-005,0.028651,-0.0073727,-2.252e-022,1,0.015785,0.015785,-0.025,0
-10.42,-1.1374,0.19062,2.6734e-022,7.4695e-005,7.0673e-005,0.03047,-0.0074092,-2.4212e-022,1,0.01599,0.01599,-0.025,0
-10.556,-1.1649,0.1863,-9.0917e-022,7.6176e-005,7.2458e-005,0.032327,-0.007449,-2.421e-022,1,0.016195,0.016195,-0.025,0
-10.693,-1.1924,0.18197,-2.0861e-021,7.7657e-005,7.4243e-005,0.034184,-0.0074888,-2.4208e-022,1,0.0164,0.0164,-0.025,0
-10.833,-1.218,0.17738,-2.9385e-021,7.9104e-005,7.5973e-005,0.036107,-0.007498,-1.3214e-022,1,0.016605,0.016605,-0.025,0
-10.974,-1.2427,0.17269,-3.6642e-021,8.0538e-005,7.7682e-005,0.038058,-0.0074952,2.0738e-023,1,0.01681,0.01681,-0.025,0
-11.114,-1.2675,0.16799,-4.3902e-021,8.1972e-005,7.9392e-005,0.040007,-0.0074924,1.7358e-022,1,0.017015,0.017015,-0.025,0
-11.255,-1.2909,0.16325,-4.1413e-021,8.3278e-005,8.0949e-005,0.041929,-0.0074605,2.4733e-022,1,0.01722,0.01722,-0.025,0
-11.395,-1.313,0.15846,-2.9823e-021,8.4466e-005,8.2364e-005,0.043826,-0.0074015,2.4731e-022,1,0.017425,0.017425,-0.025,0
-11.535,-1.3351,0.15366,-1.8229e-021,8.5654e-005,8.3779e-005,0.045721,-0.0073424,2.4728e-022,1,0.01763,0.01763,-0.025,0
-11.673,-1.3566,0.1489,-9.1103e-022,8.6801e-005,8.5144e-005,0.047592,-0.0072717,2.2515e-022,1,0.017835,0.017835,-0.025,0
-11.809,-1.3762,0.14422,-6.0345e-022,8.7848e-005,8.6383e-005,0.049401,-0.0071724,1.4909e-022,1,0.01804,0.01804,-0.025,0
-11.944,-1.3958,0.13954,-2.9575e-022,8.8896e-005,8.7622e-005,0.05121,-0.0070732,7.3051e-023,1,0.018245,0.018245,-0.025,0
-12.078,-1.4154,0.13487,0,8.9939e-005,8.8856e-005,0.053014,-0.006973,0,1,0.01845,0.01845,-0.025,0
-12.206,-1.4327,0.13045,0,9.0857e-005,8.9936e-005,0.054713,-0.0068471,0,1,0.018655,0.018655,-0.025,0
-12.333,-1.4501,0.12603,0,9.1776e-005,9.1017e-005,0.056413,-0.0067213,0,1,0.01886,0.01886,-0.025,0
-12.46,-1.4674,0.12161,0,9.2695e-005,9.2098e-005,0.058112,-0.0065954,0,1,0.019065,0.019065,-0.025,0
-12.58,-1.4832,0.11745,-9.1594e-022,9.3542e-005,9.3089e-005,0.059718,-0.0064579,0,1,0.01927,0.01927,-0.025,0
