"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.7905,-0.036845,0.012881,-2.0293e-020,3.4176,0.059274,4.5076e-005,0.00084112,-0.00041627,9.2186e-022,1,0.00779,0.00779,-0.025,0
-6.792,-0.039314,0.013054,-2.1698e-020,3.5652,0.061669,4.6374e-005,0.00091383,-0.00042167,5.9711e-022,1,0.007995,0.007995,-0.025,0
-6.7935,-0.041785,0.013227,-2.3104e-020,3.7128,0.064065,4.7672e-005,0.00098653,-0.00042707,2.7243e-022,1,0.0082,0.0082,-0.025,0
-6.7951,-0.044271,0.0134,-2.3312e-020,3.8604,0.066458,4.8966e-005,0.0010597,-0.00043248,-3.7778e-023,1,0.008405,0.008405,-0.025,0
-6.7968,-0.04684,0.013567,-1.7265e-020,4.0083,0.068836,5.0241e-005,0.0011352,-0.00043796,-2.7267e-022,1,0.00861,0.00861,-0.025,0
-6.7985,-0.049409,0.013734,-1.1215e-020,4.1562,0.071215,5.1516e-005,0.0012108,-0.00044343,-5.0752e-022,1,0.008815,0.008815,-0.025,0
-6.8002,-0.052003,0.0139,-5.7024e-021,4.3038,0.073581,5.278e-005,0.001287,-0.00044893,-6.799e-022,1,0.00902,0.00902,-0.025,0
-6.8021,-0.054666,0.014063,-1.6749e-021,4.4504,0.075912,5.4013e-005,0.0013653,-0.00045448,-6.7984e-022,1,0.009225,0.009225,-0.025,0
-6.8041,-0.05733,0.014225,2.3539e-021,4.597,0.078243,5.5246e-005,0.0014436,-0.00046003,-6.7977e-022,1,0.00943,0.00943,-0.025,0
-6.8061,-0.060025,0.014386,4.3907e-021,4.7427,0.080548,5.6458e-005,0.0015228,-0.00046561,-5.9919e-022,1,0.009635,0.009635,-0.025,0
-6.8082,-0.06278,0.014543,2.6972e-021,4.8865,0.082804,5.7631e-005,0.0016037,-0.00047123,-3.6798e-022,1,0.00984,0.00984,-0.025,0
-6.8103,-0.065536,0.0147,1.0031e-021,5.0303,0.08506,5.8804e-005,0.0016846,-0.00047686,-1.3681e-022,1,0.010045,0.010045,-0.025,0
-6.8126,-0.068329,0.014856,0,5.1724,0.087275,5.9946e-005,0.0017665,-0.0004825,0,1,0.01025,0.01025,-0.025,0
-6.815,-0.071174,0.015008,0,5.3118,0.089429,6.1043e-005,0.0018499,-0.00048815,0,1,0.010455,0.010455,-0.025,0
-6.8173,-0.07402,0.01516,0,5.4512,0.091582,6.214e-005,0.0019334,-0.00049381,0,1,0.01066,0.01066,-0.025,0
-6.8198,-0.076905,0.01531,-1.8398e-021,5.588,0.09368,6.3196e-005,0.0020179,-0.00049944,7.5495e-023,1,0.010865,0.010865,-0.025,0
-6.8225,-0.079839,0.015455,-5.9752e-021,5.7215,0.095708,6.4202e-005,0.0021038,-0.00050503,2.4512e-022,1,0.01107,0.01107,-0.025,0
-6.8251,-0.082774,0.015601,-1.0112e-020,5.8551,0.097735,6.5209e-005,0.0021897,-0.00051063,4.1471e-022,1,0.011275,0.011275,-0.025,0
-6.8278,-0.085748,0.015744,-1.2352e-020,5.9851,0.099694,6.617e-005,0.0022767,-0.00051612,5.0644e-022,1,0.01148,0.01148,-0.025,0
-6.8307,-0.08877,0.015882,-1.2354e-020,6.1111,0.10157,6.7076e-005,0.002365,-0.00052151,5.0639e-022,1,0.011685,0.011685,-0.025,0
-6.8336,-0.091793,0.01602,-1.2356e-020,6.237,0.10345,6.7982e-005,0.0024532,-0.00052688,5.0634e-022,1,0.01189,0.01189,-0.025,0
-6.8366,-0.094854,0.016154,-9.6939e-021,6.3588,0.10526,6.8842e-005,0.0025425,-0.00053208,4.9901e-022,1,0.012095,0.012095,-0.025,0
-6.8397,-0.097962,0.016282,-3.7685e-021,6.4756,0.10697,6.9645e-005,0.0026331,-0.00053705,4.8277e-022,1,0.0123,0.0123,-0.025,0
-6.8428,-0.10107,0.01641,2.1589e-021,6.5923,0.10869,7.0448e-005,0.0027236,-0.00054203,4.6654e-022,1,0.012505,0.012505,-0.025,0
-6.8461,-0.10422,0.016533,5.6166e-021,6.7045,0.11033,7.1211e-005,0.002815,-0.00054671,4.5706e-022,1,0.01271,0.01271,-0.025,0
-6.8495,-0.10741,0.016648,5.6176e-021,6.8101,0.11187,7.1918e-005,0.0029076,-0.000551,4.5701e-022,1,0.012915,0.012915,-0.025,0
-6.8529,-0.11061,0.016763,5.6185e-021,6.9158,0.11341,7.2625e-005,0.0030002,-0.00055528,4.5697e-022,1,0.01312,0.01312,-0.025,0
-6.8564,-0.11383,0.016872,4.9616e-021,7.0168,0.11489,7.3305e-005,0.0030936,-0.00055921,4.0343e-022,1,0.013325,0.013325,-0.025,0
-6.86,-0.11711,0.016972,3.1377e-021,7.1096,0.11626,7.3934e-005,0.0031881,-0.0005625,2.5506e-022,1,0.01353,0.01353,-0.025,0
-6.8637,-0.1204,0.017071,1.3131e-021,7.2025,0.11763,7.4564e-005,0.0032827,-0.0005658,1.0671e-022,1,0.013735,0.013735,-0.025,0
-6.8675,-0.1237,0.017166,-2.1744e-022,7.2913,0.11896,7.5178e-005,0.0033777,-0.00056874,3.7244e-023,1,0.01394,0.01394,-0.025,0
