"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.8896,0.083245,-0.004465,-2.8856e-020,0.0015857,1.9851e-006,2174.6,-0.0021275,5.8718e-005,2.2883e-021,1,0.007585,0.007585,-0.025,0
-8.8902,0.084064,-0.0023982,-5.7663e-020,0.0015375,1.9688e-006,2175,-0.0021576,-1.6386e-005,2.2614e-021,1,0.00779,0.00779,-0.025,0
-8.8905,0.084023,-0.00042012,-6.7326e-020,0.0014769,1.9061e-006,2176.9,-0.0021503,-8.8737e-005,1.4648e-021,1,0.007995,0.007995,-0.025,0
-8.8908,0.083981,0.0015586,-7.6992e-020,0.0014162,1.8434e-006,2178.8,-0.0021429,-0.00016108,6.6828e-022,1,0.0082,0.0082,-0.025,0
-8.8911,0.083805,0.0035036,-8.1851e-020,0.0013548,1.7723e-006,2181,-0.0021297,-0.0002317,-1.3477e-022,1,0.008405,0.008405,-0.025,0
-8.8911,0.082932,0.0052698,-6.1604e-020,0.0012891,1.6579e-006,2184.9,-0.0020853,-0.00029343,-9.7274e-022,1,0.00861,0.00861,-0.025,0
-8.8912,0.082059,0.0070365,-4.135e-020,0.0012234,1.5435e-006,2188.9,-0.0020409,-0.00035515,-1.8106e-021,1,0.008815,0.008815,-0.025,0
-8.8913,0.080991,0.0087123,-2.2606e-020,0.0011556,1.424e-006,2193.4,-0.0019883,-0.00041215,-2.4255e-021,1,0.00902,0.00902,-0.025,0
-8.8912,0.079386,0.010135,-8.0509e-021,0.0010821,1.2909e-006,2199.4,-0.0019132,-0.00045617,-2.4253e-021,1,0.009225,0.009225,-0.025,0
-8.8911,0.07778,0.011559,6.5095e-021,0.0010086,1.1577e-006,2205.5,-0.0018381,-0.00050018,-2.4251e-021,1,0.00943,0.00943,-0.025,0
-8.891,0.075962,0.01282,1.4107e-020,0.00093323,1.0288e-006,2211.9,-0.0017552,-0.0005362,-2.1376e-021,1,0.009635,0.009635,-0.025,0
-8.8908,0.07375,0.013774,8.6657e-021,0.00085457,9.0798e-007,2219,-0.0016579,-0.00055728,-1.3128e-021,1,0.00984,0.00984,-0.025,0
-8.8906,0.071536,0.014729,3.2227e-021,0.00077588,7.8709e-007,2226.2,-0.0015605,-0.00057835,-4.8807e-022,1,0.010045,0.010045,-0.025,0
-8.8905,0.069143,0.015452,0,0.00069852,6.7825e-007,2233.1,-0.0014586,-0.00058894,0,1,0.01025,0.01025,-0.025,0
-8.8903,0.066489,0.015838,0,0.0006231,5.8689e-007,2239.8,-0.0013499,-0.00058432,0,1,0.010455,0.010455,-0.025,0
-8.8901,0.063834,0.016225,0,0.00054765,4.955e-007,2246.5,-0.0012412,-0.0005797,0,1,0.01066,0.01066,-0.025,0
-8.8899,0.061082,0.016341,-1.3758e-020,0.00047895,4.1821e-007,2252.5,-0.0011331,-0.00056418,6.1535e-022,1,0.010865,0.010865,-0.025,0
-8.8898,0.058208,0.016119,-4.468e-020,0.00041865,3.5852e-007,2257.7,-0.0010258,-0.00053507,1.9979e-021,1,0.01107,0.01107,-0.025,0
-8.8896,0.055332,0.015897,-7.5614e-020,0.00035835,2.9882e-007,2262.8,-0.00091845,-0.00050596,3.3802e-021,1,0.011275,0.011275,-0.025,0
-8.8895,0.052478,0.015418,-9.2363e-020,0.00030672,2.5048e-007,2266.7,-0.00081752,-0.00046843,4.1279e-021,1,0.01148,0.01148,-0.025,0
-8.8893,0.049649,0.014636,-9.2379e-020,0.00026534,2.1557e-007,2269.1,-0.00072411,-0.00042096,4.1275e-021,1,0.011685,0.011685,-0.025,0
-8.8892,0.046819,0.013853,-9.2395e-020,0.00022394,1.8064e-007,2271.4,-0.00063072,-0.00037351,4.1271e-021,1,0.01189,0.01189,-0.025,0
-8.8891,0.044136,0.012881,-7.6655e-020,0.00018963,1.5271e-007,2272.4,-0.00054773,-0.00032216,4.4194e-021,1,0.012095,0.012095,-0.025,0
-8.8889,0.041633,0.011675,-4.1618e-020,0.00016399,1.3336e-007,2271.7,-0.00047746,-0.00026603,5.07e-021,1,0.0123,0.0123,-0.025,0
-8.8888,0.03913,0.010469,-6.5688e-021,0.00013835,1.14e-007,2271,-0.0004072,-0.00020992,5.7205e-021,1,0.012505,0.012505,-0.025,0
-8.8887,0.036868,0.009158,1.3875e-020,0.00011733,9.8391e-008,2269.3,-0.00034827,-0.00015388,6.0995e-021,1,0.01271,0.01271,-0.025,0
-8.8885,0.034944,0.0077017,1.3878e-020,0.00010281,8.8038e-008,2266.3,-0.00030519,-9.7924e-005,6.0989e-021,1,0.012915,0.012915,-0.025,0
-8.8884,0.033021,0.0062449,1.388e-020,8.8275e-005,7.7682e-008,2263.2,-0.00026211,-4.198e-005,6.0983e-021,1,0.01312,0.01312,-0.025,0
-8.8882,0.031374,0.0047531,1.2257e-020,7.632e-005,6.949e-008,2259.1,-0.00022922,1.213e-005,5.3839e-021,1,0.013325,0.013325,-0.025,0
-8.888,0.030221,0.0031995,7.7514e-021,6.8941e-005,6.514e-008,2253.2,-0.00021438,6.2998e-005,3.4038e-021,1,0.01353,0.01353,-0.025,0
-8.8879,0.029067,0.0016454,3.2439e-021,6.1559e-005,6.0787e-008,2247.2,-0.00019955,0.00011386,1.4241e-021,1,0.013735,0.013735,-0.025,0
-8.8877,0.028161,9.6633e-005,-5.143e-021,5.5402e-005,5.7415e-008,2241,-0.00019262,0.00016245,5.9297e-022,1,0.01394,0.01394,-0.025,0
-8.8875,0.027893,-0.0014374,-2.348e-020,5.2388e-005,5.6558e-008,2234.1,-0.00020597,0.00020525,2.7064e-021,1,0.014145,0.014145,-0.025,0
-8.8873,0.027625,-0.002972,-4.1822e-020,4.9374e-005,5.5701e-008,2227.2,-0.00021932,0.00024804,4.8193e-021,1,0.01435,0.01435,-0.025,0
-8.8871,0.027509,-0.0044888,-5.6933e-020,4.9995e-005,5.9613e-008,2220.6,-0.00023713,0.00028945,6.5589e-021,1,0.014555,0.014555,-0.025,0
-8.8869,0.028105,-0.005921,-5.6943e-020,6.7583e-005,8.5777e-008,2215.5,-0.00027575,0.00032448,6.5583e-021,1,0.01476,0.01476,-0.025,0
-8.8866,0.028701,-0.0073536,-5.6953e-020,8.5174e-005,1.1195e-007,2210.5,-0.00031435,0.00035951,6.5576e-021,1,0.014965,0.014965,-0.025,0
-8.8864,0.029326,-0.0087722,-5.5599e-020,0.00010388,1.3976e-007,2205.6,-0.00035407,0.00039414,6.387e-021,1,0.01517,0.01517,-0.025,0
-8.8863,0.030515,-0.0099032,-2.7417e-020,0.00014432,1.9972e-007,2203,-0.00041579,0.00042126,2.875e-021,1,0.015375,0.015375,-0.025,0
-8.8861,0.031704,-0.011035,7.7393e-022,0.00018478,2.5969e-007,2200.4,-0.00047749,0.00044838,-6.3632e-022,1,0.01558,0.01558,-0.025,0
-8.886,0.032893,-0.012167,2.8975e-020,0.00022525,3.1968e-007,2197.7,-0.00053918,0.0004755,-4.1469e-021,1,0.015785,0.015785,-0.025,0
-8.886,0.03417,-0.012711,1.0997e-020,0.00030838,4.394e-007,2197.2,-0.00061569,0.00048836,-4.5118e-021,1,0.01599,0.01599,-0.025,0
