"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.8474,-0.034419,0.012393,-2.2131e-020,3.0645,0.053422,4.1804e-005,0.00077409,-0.00040014,1.0154e-021,1,0.00779,0.00779,-0.025,0
-6.8488,-0.036792,0.012568,-2.3441e-020,3.2033,0.055686,4.3047e-005,0.00084421,-0.00040562,6.5771e-022,1,0.007995,0.007995,-0.025,0
-6.8501,-0.039165,0.012743,-2.4752e-020,3.3421,0.05795,4.4291e-005,0.00091431,-0.00041109,3.0007e-022,1,0.0082,0.0082,-0.025,0
-6.8515,-0.041554,0.012918,-2.4802e-020,3.481,0.060216,4.5534e-005,0.00098488,-0.00041657,-4.1092e-023,1,0.008405,0.008405,-0.025,0
-6.853,-0.044024,0.013086,-1.827e-020,3.621,0.062486,4.6772e-005,0.0010579,-0.00042204,-2.9659e-022,1,0.00861,0.00861,-0.025,0
-6.8545,-0.046495,0.013255,-1.1736e-020,3.761,0.064756,4.8011e-005,0.001131,-0.00042751,-5.5203e-022,1,0.008815,0.008815,-0.025,0
-6.8561,-0.048991,0.013421,-5.7984e-021,3.9009,0.06702,4.9244e-005,0.0012047,-0.00043297,-7.3953e-022,1,0.00902,0.00902,-0.025,0
-6.8578,-0.051555,0.013583,-1.5142e-021,4.0407,0.069269,5.0459e-005,0.0012806,-0.00043841,-7.3946e-022,1,0.009225,0.009225,-0.025,0
-6.8595,-0.054119,0.013745,2.7716e-021,4.1804,0.071518,5.1676e-005,0.0013564,-0.00044385,-7.3939e-022,1,0.00943,0.00943,-0.025,0
-6.8613,-0.056715,0.013904,4.9065e-021,4.3195,0.073751,5.2879e-005,0.0014332,-0.00044927,-6.5174e-022,1,0.009635,0.009635,-0.025,0
-6.8632,-0.059369,0.014059,3.014e-021,4.4577,0.075954,5.4058e-005,0.0015117,-0.00045467,-4.0025e-022,1,0.00984,0.00984,-0.025,0
-6.8652,-0.062023,0.014214,1.1209e-021,4.5958,0.078158,5.5238e-005,0.0015903,-0.00046006,-1.4881e-022,1,0.010045,0.010045,-0.025,0
-6.8672,-0.064713,0.014366,0,4.7327,0.080334,5.6396e-005,0.0016698,-0.00046542,0,1,0.01025,0.01025,-0.025,0
-6.8693,-0.067453,0.014514,0,4.8679,0.082471,5.7524e-005,0.0017509,-0.00047073,0,1,0.010455,0.010455,-0.025,0
-6.8714,-0.070195,0.014662,0,5.0031,0.084607,5.8653e-005,0.0018319,-0.00047604,0,1,0.01066,0.01066,-0.025,0
-6.8737,-0.072973,0.014806,-1.9539e-021,5.1365,0.086704,5.9753e-005,0.0019141,-0.0004813,8.0626e-023,1,0.010865,0.010865,-0.025,0
-6.876,-0.075798,0.014946,-6.3457e-021,5.2676,0.088753,6.0818e-005,0.0019976,-0.00048648,2.6178e-022,1,0.01107,0.01107,-0.025,0
-6.8784,-0.078624,0.015086,-1.0739e-020,5.3987,0.090802,6.1884e-005,0.0020811,-0.00049166,4.429e-022,1,0.011275,0.011275,-0.025,0
-6.8809,-0.081487,0.015223,-1.3118e-020,5.5274,0.092802,6.2914e-005,0.0021656,-0.00049674,5.4086e-022,1,0.01148,0.01148,-0.025,0
-6.8835,-0.084393,0.015355,-1.312e-020,5.6533,0.094744,6.3905e-005,0.0022514,-0.00050171,5.4081e-022,1,0.011685,0.011685,-0.025,0
-6.8861,-0.087301,0.015486,-1.3122e-020,5.7792,0.096686,6.4895e-005,0.0023372,-0.00050668,5.4075e-022,1,0.01189,0.01189,-0.025,0
-6.8888,-0.090244,0.015614,-1.0328e-020,5.9022,0.098573,6.5849e-005,0.002424,-0.00051151,5.3205e-022,1,0.012095,0.012095,-0.025,0
-6.8916,-0.09323,0.015737,-4.1081e-021,6.0217,0.10039,6.6756e-005,0.002512,-0.00051618,5.1277e-022,1,0.0123,0.0123,-0.025,0
-6.8945,-0.096217,0.01586,2.1139e-021,6.1412,0.10221,6.7664e-005,0.0025999,-0.00052086,4.9349e-022,1,0.012505,0.012505,-0.025,0
-6.8974,-0.099236,0.015978,5.7433e-021,6.2575,0.10398,6.8535e-005,0.0026887,-0.00052535,4.8223e-022,1,0.01271,0.01271,-0.025,0
-6.9005,-0.1023,0.01609,5.7443e-021,6.3694,0.10566,6.9357e-005,0.0027786,-0.00052959,4.8218e-022,1,0.012915,0.012915,-0.025,0
-6.9036,-0.10536,0.016202,5.7453e-021,6.4813,0.10735,7.0178e-005,0.0028685,-0.00053383,4.8214e-022,1,0.01312,0.01312,-0.025,0
-6.9067,-0.10846,0.01631,5.0736e-021,6.59,0.10898,7.097e-005,0.0029591,-0.00053785,4.2565e-022,1,0.013325,0.013325,-0.025,0
-6.9101,-0.1116,0.01641,3.2085e-021,6.6931,0.11052,7.1706e-005,0.0030509,-0.0005415,2.691e-022,1,0.01353,0.01353,-0.025,0
-6.9134,-0.11474,0.016509,1.3427e-021,6.7962,0.11207,7.2443e-005,0.0031427,-0.00054515,1.1259e-022,1,0.013735,0.013735,-0.025,0
-6.9168,-0.1179,0.016606,-2.2786e-022,6.8965,0.11357,7.3159e-005,0.0032349,-0.00054857,3.8374e-023,1,0.01394,0.01394,-0.025,0
