"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.8466,0,0,0,0.20198,0.00070522,0,-0.00015807,0.00046358,0,1,0,0,-0.025,0
-6.8466,0.0011448,-0.0029677,0,0.20046,0.0012876,8.7446e-007,-0.00010131,0.00038825,0,1,0.000205,0.000205,-0.025,0
-6.8466,0.00229,-0.0059364,0,0.19893,0.00187,1.7492e-006,-4.4537e-005,0.00031288,0,1,0.00041,0.00041,-0.025,0
-6.8466,0.0033449,-0.0076186,7.1913e-021,0.20673,0.0026726,3.0517e-006,-4.6035e-005,0.00027552,0,1,0.000615,0.000615,-0.025,0
-6.8467,0.0042762,-0.0075414,2.4216e-020,0.22726,0.0037759,4.9388e-006,-0.00012719,0.00029015,0,1,0.00082,0.00082,-0.025,0
-6.8468,0.0052077,-0.0074641,4.1247e-020,0.24779,0.0048794,6.8266e-006,-0.00020832,0.00030477,0,1,0.001025,0.001025,-0.025,0
-6.8469,0.0058067,-0.0066608,4.4235e-020,0.28649,0.0058588,8.6702e-006,-0.00026836,0.00028619,0,1,0.00123,0.00123,-0.025,0
-6.8471,0.0063352,-0.0057032,4.4242e-020,0.32904,0.0068121,1.0505e-005,-0.00032392,0.00026057,0,1,0.001435,0.001435,-0.025,0
-6.8473,0.006778,-0.0047021,3.8436e-020,0.37113,0.0077366,1.2224e-005,-0.00037376,0.00023124,0,1,0.00164,0.00164,-0.025,0
-6.8476,0.0068925,-0.0035353,1.0384e-020,0.41146,0.0085514,1.35e-005,-0.00040175,0.00018771,0,1,0.001845,0.001845,-0.025,0
-6.8479,0.0070069,-0.0023682,-1.7678e-020,0.45179,0.0093661,1.4777e-005,-0.00042973,0.00014419,0,1,0.00205,0.00205,-0.025,0
-6.8482,0.0068799,-0.0012133,-3.5577e-020,0.49296,0.010166,1.5825e-005,-0.00044325,9.881e-005,0,1,0.002255,0.002255,-0.025,0
-6.8485,0.0065698,-6.7749e-005,-4.5779e-020,0.53476,0.010956,1.6701e-005,-0.00044583,5.2025e-005,0,1,0.00246,0.00246,-0.025,0
-6.8488,0.0062597,0.0010782,-5.5984e-020,0.57657,0.011745,1.7577e-005,-0.00044841,5.2476e-006,0,1,0.002665,0.002665,-0.025,0
-6.8492,0.0055908,0.0020911,-6.3473e-020,0.62396,0.012601,1.8274e-005,-0.00043199,-3.6307e-005,8.0472e-022,1,0.00287,0.00287,-0.025,0
