"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
34.89,-0.070996,0.082495,1.7304e-020,3.3478e-005,2.662e-005,-0.0037252,-0.00059222,1.516e-022,1,0.008405,0.008405,-0.025,0
34.89,-0.099541,0.091273,-1.2327e-022,3.402e-005,2.7013e-005,-0.0034406,-0.00070445,1.0942e-021,1,0.00861,0.00861,-0.025,0
34.89,-0.1281,0.10005,-1.7557e-020,3.4562e-005,2.7406e-005,-0.0031561,-0.00081665,2.0367e-021,1,0.008815,0.008815,-0.025,0
34.891,-0.1576,0.10958,-3.1163e-020,3.5464e-005,2.7882e-005,-0.0028313,-0.001013,2.7284e-021,1,0.00902,0.00902,-0.025,0
34.893,-0.18971,0.12116,-3.4185e-020,3.7363e-005,2.8586e-005,-0.0023951,-0.0014416,2.7282e-021,1,0.009225,0.009225,-0.025,0
34.894,-0.22183,0.13275,-3.7207e-020,3.9263e-005,2.929e-005,-0.001959,-0.0018702,2.7279e-021,1,0.00943,0.00943,-0.025,0
34.896,-0.25524,0.1446,-3.4539e-020,4.1116e-005,3.0067e-005,-0.0013904,-0.0023739,2.4046e-021,1,0.009635,0.009635,-0.025,0
34.898,-0.29105,0.15696,-2.1217e-020,4.2883e-005,3.0981e-005,-0.00057366,-0.0030183,1.4767e-021,1,0.00984,0.00984,-0.025,0
34.9,-0.32688,0.16933,-7.8904e-021,4.4651e-005,3.1895e-005,0.00024287,-0.0036625,5.4903e-022,1,0.010045,0.010045,-0.025,0
34.899,-0.36407,0.1804,0,4.5755e-005,3.2867e-005,0.0012117,-0.0042538,0,1,0.01025,0.01025,-0.025,0
34.894,-0.40321,0.18959,0,4.5896e-005,3.3924e-005,0.0024013,-0.0047684,0,1,0.010455,0.010455,-0.025,0
34.889,-0.44236,0.19878,0,4.6036e-005,3.4982e-005,0.0035907,-0.0052828,0,1,0.01066,0.01066,-0.025,0
34.876,-0.48205,0.20624,1.43e-021,4.6301e-005,3.6203e-005,0.0048384,-0.0057027,-7.0122e-023,1,0.010865,0.010865,-0.025,0
34.854,-0.52241,0.21155,4.6441e-021,4.6721e-005,3.763e-005,0.0061588,-0.0060046,-2.2767e-022,1,0.01107,0.01107,-0.025,0
34.831,-0.56279,0.21685,7.8594e-021,4.7142e-005,3.9056e-005,0.007479,-0.0063064,-3.8519e-022,1,0.011275,0.011275,-0.025,0
34.797,-0.60302,0.22099,9.6004e-021,4.8253e-005,4.0764e-005,0.0088091,-0.0065639,-4.7039e-022,1,0.01148,0.01148,-0.025,0
34.749,-0.64307,0.22374,9.602e-021,5.018e-005,4.2803e-005,0.010151,-0.006769,-4.7035e-022,1,0.011685,0.011685,-0.025,0
34.701,-0.68313,0.22649,9.6037e-021,5.2107e-005,4.4842e-005,0.011492,-0.0069742,-4.703e-022,1,0.01189,0.01189,-0.025,0
34.64,-0.72262,0.22842,8.1448e-021,5.4229e-005,4.7065e-005,0.012844,-0.0071609,-4.3369e-022,1,0.012095,0.012095,-0.025,0
34.564,-0.7614,0.22935,4.897e-021,5.659e-005,4.9513e-005,0.014208,-0.007325,-3.5233e-022,1,0.0123,0.0123,-0.025,0
34.488,-0.8002,0.23027,1.6481e-021,5.8952e-005,5.1962e-005,0.015572,-0.007489,-2.7098e-022,1,0.012505,0.012505,-0.025,0
34.401,-0.83822,0.23041,-2.4692e-022,6.1072e-005,5.4288e-005,0.016944,-0.0076247,-2.2355e-022,1,0.01271,0.01271,-0.025,0
34.299,-0.87517,0.22945,-2.4696e-022,6.2853e-005,5.6441e-005,0.018327,-0.0077207,-2.2353e-022,1,0.012915,0.012915,-0.025,0
