"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.3841,-0.033367,0.021197,-1.9964e-020,7.8633,0.1669,0.00012571,0.00045418,-0.00075171,8.8444e-022,1,0.00779,0.00779,-0.025,0
-8.3867,-0.037605,0.02104,-2.1588e-020,7.7155,0.17004,0.0001312,0.0006037,-0.00071749,5.7287e-022,1,0.007995,0.007995,-0.025,0
-8.3894,-0.041845,0.020882,-2.3212e-020,7.5676,0.17319,0.00013669,0.00075319,-0.00068329,2.6137e-022,1,0.0082,0.0082,-0.025,0
-8.3921,-0.046137,0.020706,-2.2656e-020,7.4748,0.1766,0.00014185,0.00089637,-0.00064593,-1.1014e-022,1,0.008405,0.008405,-0.025,0
-8.3956,-0.050701,0.020436,-1.0719e-020,7.6684,0.18146,0.00014528,0.0010067,-0.00059213,-7.9497e-022,1,0.00861,0.00861,-0.025,0
-8.399,-0.055265,0.020167,1.2233e-021,7.862,0.18632,0.00014872,0.0011171,-0.00053835,-1.4797e-021,1,0.008815,0.008815,-0.025,0
-8.4026,-0.059845,0.0201,1.111e-020,8.085,0.19091,0.0001514,0.0012227,-0.00050193,-1.9822e-021,1,0.00902,0.00902,-0.025,0
-8.4068,-0.064464,0.020594,1.5313e-020,8.3891,0.19476,0.000152,0.0013153,-0.00051346,-1.982e-021,1,0.009225,0.009225,-0.025,0
-8.4111,-0.069085,0.021089,1.9518e-020,8.6933,0.19862,0.0001526,0.0014079,-0.00052499,-1.9819e-021,1,0.00943,0.00943,-0.025,0
-8.4155,-0.073884,0.021728,1.9623e-020,9.0201,0.20188,0.00015228,0.0015155,-0.00054896,-1.7469e-021,1,0.009635,0.009635,-0.025,0
-8.4204,-0.079014,0.022638,1.2054e-020,9.3895,0.20405,0.00015024,0.001651,-0.0005962,-1.0728e-021,1,0.00984,0.00984,-0.025,0
-8.4252,-0.084146,0.023548,4.483e-021,9.759,0.20621,0.0001482,0.0017865,-0.00064343,-3.9887e-022,1,0.010045,0.010045,-0.025,0
-8.4302,-0.089425,0.024542,0,10.183,0.20735,0.00014481,0.0019288,-0.000693,0,1,0.01025,0.01025,-0.025,0
-8.4352,-0.094918,0.025657,0,10.685,0.207,0.00013948,0.0020811,-0.00074597,0,1,0.010455,0.010455,-0.025,0
-8.4403,-0.10041,0.026773,0,11.187,0.20665,0.00013415,0.0022333,-0.00079893,0,1,0.01066,0.01066,-0.025,0
-8.4452,-0.10603,0.027894,-2.8288e-021,13.674,0.20475,0.00012553,0.0023801,-0.00084785,1.4471e-022,1,0.010865,0.010865,-0.025,0
-8.45,-0.11179,0.029022,-9.187e-021,18.636,0.20092,0.00011282,0.0025199,-0.00089173,4.6983e-022,1,0.01107,0.01107,-0.025,0
-8.4548,-0.11756,0.03015,-1.5547e-020,23.598,0.19708,0.0001001,0.0026598,-0.0009356,7.949e-022,1,0.011275,0.011275,-0.025,0
-8.4597,-0.12344,0.031227,-1.8991e-020,28.908,0.19503,8.9177e-005,0.0028203,-0.00098291,9.7072e-022,1,0.01148,0.01148,-0.025,0
-8.4648,-0.12947,0.032242,-1.8995e-020,34.629,0.19508,8.0382e-005,0.0030052,-0.0010343,9.7063e-022,1,0.011685,0.011685,-0.025,0
-8.4699,-0.13549,0.033258,-1.8998e-020,40.349,0.19512,7.1585e-005,0.0031901,-0.0010856,9.7053e-022,1,0.01189,0.01189,-0.025,0
-8.4755,-0.14166,0.034177,-1.6211e-020,44.435,0.1977,6.7019e-005,0.0034079,-0.0011399,9.5077e-022,1,0.012095,0.012095,-0.025,0
-8.482,-0.148,0.034977,-1.0008e-020,46.519,0.20337,6.7637e-005,0.003666,-0.0011977,9.0695e-022,1,0.0123,0.0123,-0.025,0
-8.4884,-0.15434,0.035777,-3.8017e-021,48.604,0.20904,6.8255e-005,0.0039241,-0.0012555,8.6313e-022,1,0.012505,0.012505,-0.025,0
-8.4954,-0.16081,0.036459,-1.8202e-022,50.684,0.21469,6.8978e-005,0.0041925,-0.0013054,8.3755e-022,1,0.01271,0.01271,-0.025,0
